icao;city_icao;country;country_code
SANO;Chilecito (SANO);Argentina;AR
SANT;San Miguel de Tucuman (SANT);Argentina;AR
SANU;San Juan (SANU);Argentina;AR
SANW;Ceres (SANW);Argentina;AR
SAOC;Rio Cuarto (SAOC);Argentina;AR
SAOD;Villa Dolores (SAOD);Argentina;AR
SAOE;Rio Tercero (SAOE);Argentina;AR
SAOI;Villa Maria del Rio Seco (SAOI);Argentina;AR
SAOL;Laboulaye (SAOL);Argentina;AR
SAOM;Marcos Juarez (SAOM);Argentina;AR
SAOR;Villa Reynolds (SAOR);Argentina;AR
SAOS;Merlo (SAOS);Argentina;AR
SAOU;San Luis (SAOU);Argentina;AR
SARC;Corrientes (SARC);Argentina;AR
SARD;Resistencia (SARD);Argentina;AR
SARE;Resistencia (SARE);Argentina;AR
SARF;Formosa (SARF);Argentina;AR
SARG;General Paz (SARG);Argentina;AR
SARI;Puerto Iguazu (SARI);Argentina;AR
SARL;Paso de los Libres (SARL);Argentina;AR
SARM;Monte Caseros (SARM);Argentina;AR
SARP;Posadas (SARP);Argentina;AR
SARS;Presidencia Roque Saenz Pena (SARS);Argentina;AR
SARV;Villa Angela (SARV);Argentina;AR
SASA;Salta (SASA);Argentina;AR
SASJ;San Salvador de Jujuy (SASJ);Argentina;AR
SASL;Salar de Cauchari (SASL);Argentina;AR
SASM;Metan (SASM);Argentina;AR
SASO;Oran (SASO);Argentina;AR
SASQ;La Quiaca (SASQ);Argentina;AR
SASR;Rivadavia (SASR);Argentina;AR
SAST;Tartagal (SAST);Argentina;AR
SATC;Clorinda (SATC);Argentina;AR
SATD;El Dorado (SATD);Argentina;AR
SATG;Goya (SATG);Argentina;AR
SATI;Bernardo de Irigoyen (SATI);Argentina;AR
SATK;Las Lomitas (SATK);Argentina;AR
SATM;Mercedes (SATM);Argentina;AR
SATO;Obera (SATO);Argentina;AR
SATR;Reconquista (SATR);Argentina;AR
SATU;Curuzu Cuatia (SATU);Argentina;AR
SAVA;Piedra del Aguila (SAVA);Argentina;AR
SAVB;El Bolson (SAVB);Argentina;AR
SAVC;Comodoro Rivadavia (SAVC);Argentina;AR
SAVD;El Maiten (SAVD);Argentina;AR
SAVE;Esquel (SAVE);Argentina;AR
SAVH;Las Heras (SAVH);Argentina;AR
SAVJ;Ingeniero Jacobacci (SAVJ);Argentina;AR
SAVM;Sarmiento (SAVM);Argentina;AR
SAVN;San Antonio Oeste (SAVN);Argentina;AR
SAVP;Paso de los Indios (SAVP);Argentina;AR
SAVQ;Maquinchao (SAVQ);Argentina;AR
SAVR;Alto Rio Senguerr (SAVR);Argentina;AR
SAVS;Sierra Grande (SAVS);Argentina;AR
SAVT;Rawson (SAVT);Argentina;AR
SAVV;Viedma / Carmen de Patagones (SAVV);Argentina;AR
SAVY;Puerto Madryn (SAVY);Argentina;AR
SAWA;El Calafate (SAWA);Argentina;AR
